key,name,category,store_name,url,count,min_price,max_price,avg_price,first_date,last_date,first_price,last_price,delta_cop,delta_pct
https://www.exito.com/cerveza-belgica-botella-x6-stella-artois-1800-ml-3155260/p,Cerveza STELLA ARTOIS botella six pack (1800  ml),licores,Éxito,https://www.exito.com/cerveza-belgica-botella-x6-stella-artois-1800-ml-3155260/p,3,25150.00,25150.00,25150.00,2026-04-23,2026-04-23,25150.00,25150.00,0.00,0.0000
https://www.exito.com/cerveza-sixpack-coronita-x-210-ml-cu-170384/p,Cerveza SIXPACK CORONITA CORONA 1260 ml,licores,Éxito,https://www.exito.com/cerveza-sixpack-coronita-x-210-ml-cu-170384/p,3,21000.00,21000.00,21000.00,2026-04-23,2026-04-23,21000.00,21000.00,0.00,0.0000
https://www.exito.com/cerveza-schofferhofer-500-ml-3091672/p,Cerveza SCHOFFERHOFER  (500  ml),licores,Éxito,https://www.exito.com/cerveza-schofferhofer-500-ml-3091672/p,3,18400.00,18400.00,18400.00,2026-04-23,2026-04-23,18400.00,18400.00,0.00,0.0000
https://www.exito.com/redds-rose-redds-redds-rose-1614-ml-3206922/p,Cerveza REDDS rosé six pack (1614  ml),licores,Éxito,https://www.exito.com/redds-rose-redds-redds-rose-1614-ml-3206922/p,3,22200.00,22200.00,22200.00,2026-04-23,2026-04-23,22200.00,22200.00,0.00,0.0000
https://www.exito.com/cerveza-pok-pacx12-poker-poker-lata-330-ml-3210026/p,Cerveza POKER lata (3630  ml),licores,Éxito,https://www.exito.com/cerveza-pok-pacx12-poker-poker-lata-330-ml-3210026/p,3,30900.00,30900.00,30900.00,2026-04-23,2026-04-23,30900.00,30900.00,0.00,0.0000
https://www.exito.com/cerveza-erdinger-original-helles-500-ml-3233592/p,Cerveza ERDINGER original helles (500  ml),licores,Éxito,https://www.exito.com/cerveza-erdinger-original-helles-500-ml-3233592/p,3,16400.00,16400.00,16400.00,2026-04-23,2026-04-23,16400.00,16400.00,0.00,0.0000
https://www.exito.com/cerveza-costena-lata-sixpac-1860-ml-3222187/p,Cerveza COSTENA lata six pack (1860  ml),licores,Éxito,https://www.exito.com/cerveza-costena-lata-sixpac-1860-ml-3222187/p,3,10700.00,10700.00,10700.00,2026-04-23,2026-04-23,10700.00,10700.00,0.00,0.0000
https://www.exito.com/cerveza-extra-sixpack-corona-1614-ml-3068247/p,Cerveza CORONA lata extra  six pack (1614  ml),licores,Éxito,https://www.exito.com/cerveza-extra-sixpack-corona-1614-ml-3068247/p,3,19950.00,19950.00,19950.00,2026-04-23,2026-04-23,19950.00,19950.00,0.00,0.0000
https://www.exito.com/sixpack-cerveza-corona-corona-1980-ml-3147165/p,Cerveza CORONA botella lager six pack (1980  ml),licores,Éxito,https://www.exito.com/sixpack-cerveza-corona-corona-1980-ml-3147165/p,3,25450.00,25450.00,25450.00,2026-04-23,2026-04-23,25450.00,25450.00,0.00,0.0000
https://www.exito.com/cerveza-x-6-lata-dorada-club-colombia-446650/p,Cerveza CLUB COLOMBIA lata dorada (1980  ml),licores,Éxito,https://www.exito.com/cerveza-x-6-lata-dorada-club-colombia-446650/p,3,20450.00,20450.00,20450.00,2026-04-23,2026-04-23,20450.00,20450.00,0.00,0.0000
https://www.exito.com/sixpack-cerveza-lata-131256/p,Cerveza ANDINA lata dorada six pack (1614  ml),licores,Éxito,https://www.exito.com/sixpack-cerveza-lata-131256/p,3,9990.00,9990.00,9990.00,2026-04-23,2026-04-23,9990.00,9990.00,0.00,0.0000
https://www.exito.com/cerveza-aguila-cerveza-3960-ml-3199899/p,Cerveza AGUILA 12 latas (3630  ml),licores,Éxito,https://www.exito.com/cerveza-aguila-cerveza-3960-ml-3199899/p,3,35500.00,35500.00,35500.00,2026-04-23,2026-04-23,35500.00,35500.00,0.00,0.0000
https://www.exito.com/1906-red-vintage-330-ml-3122060/p,Cerveza 1906 red vintage (330  ml),licores,Éxito,https://www.exito.com/1906-red-vintage-330-ml-3122060/p,3,9520.00,9520.00,9520.00,2026-04-23,2026-04-23,9520.00,9520.00,0.00,0.0000
https://www.exito.com/1906-irish-red-ale-330-ml-3122059/p,Cerveza 1906 irish red ale (330  ml),licores,Éxito,https://www.exito.com/1906-irish-red-ale-330-ml-3122059/p,3,9590.00,9590.00,9590.00,2026-04-23,2026-04-23,9590.00,9590.00,0.00,0.0000
